"merchant","logoUrl"
"A Cheerful Pet","http://img1.prosperent.com/images/brandlogos/120x60/A%20Cheerful%20Pet.png"
"A Heart Speaks Through Dance - Musical Figurine","http://img1.prosperent.com/images/brandlogos/120x60/A%20Heart%20Speaks%20Through%20Dance%20-%20Musical%20Figurine.png"
"A Line","http://img1.prosperent.com/images/brandlogos/120x60/A%20Line.png"
"a line furniture","http://img1.prosperent.com/images/brandlogos/120x60/a%20line%20furniture.png"
"A Peace Treaty","http://img1.prosperent.com/images/brandlogos/120x60/A%20Peace%20Treaty.png"
"A SHOE FACTORY","http://img1.prosperent.com/images/brandlogos/120x60/A%20SHOE%20FACTORY.png"
"A SHORE FIT","http://img1.prosperent.com/images/brandlogos/120x60/A%20SHORE%20FIT.png"
"A SHORE FIT!","http://img1.prosperent.com/images/brandlogos/120x60/A%20SHORE%20FIT%21.png"
"A Tiziano","http://img1.prosperent.com/images/brandlogos/120x60/A%20Tiziano.png"
"A Vogel","http://img1.prosperent.com/images/brandlogos/120x60/A%20Vogel.png"
"A&A Manufacturing","http://img1.prosperent.com/images/brandlogos/120x60/A%26A%20Manufacturing.png"
"A&B ACCESSORIES","http://img1.prosperent.com/images/brandlogos/120x60/A%26B%20ACCESSORIES.png"
"A&C Safes LLC","http://img1.prosperent.com/images/brandlogos/120x60/A%26C%20Safes%20LLC.png"
"A&E","http://img1.prosperent.com/images/brandlogos/120x60/A%26E.png"
"A&E Cage Co.","http://img1.prosperent.com/images/brandlogos/120x60/A%26E%20Cage%20Co..png"
"A&E Designs","http://img1.prosperent.com/images/brandlogos/120x60/A%26E%20Designs.png"
"A&G Supply","http://img1.prosperent.com/images/brandlogos/120x60/A%26G%20Supply.png"
"A&K","http://img1.prosperent.com/images/brandlogos/120x60/A%26K.png"
"A&R","http://img1.prosperent.com/images/brandlogos/120x60/A%26R.png"
"A+ro","http://img1.prosperent.com/images/brandlogos/120x60/A%2Bro.png"
"A-Concepts Designs","http://img1.prosperent.com/images/brandlogos/120x60/A-Concepts%20Designs.png"
